السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديات (إناث),عدد العاملين الأجانب,عدد الأجانب (ذكور),عدد الأجنبيات (إناث)
2023,1,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,54,320,137,183,523,516,7
2023,1,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,كبيرة,1,221,207,14,213,212,1
2023,1,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,184,122,65,57,287,285,2
2023,1,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متوسطة,6,239,130,109,329,326,3
2023,1,المنطقة الشرقية,صيد الأسماك وتربية المائيات,صغيرة,138,122,47,75,1229,1228,1
2023,1,المنطقة الشرقية,صيد الأسماك وتربية المائيات,متناهية الصغر,2055,183,82,101,5887,5873,14
2023,1,المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,667,1957,1141,816,7591,7582,9
2023,1,المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),كبيرة,23,7051,6345,706,6473,6462,11
2023,1,المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,1486,452,244,208,3397,3395,2
2023,1,المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,111,3037,2190,847,8358,8348,10
2023,1,المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,296,1070,606,464,4687,4684,3
2023,1,المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,16,2176,1684,492,5396,5392,4
2023,1,المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,377,128,77,51,902,899,3
2023,1,المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,139,3245,2010,1235,10389,10328,61
2023,1,المنطقة الشرقية,صنع منتجات المطاط واللدائن,صغيرة,66,276,177,99,1012,1011,1
2023,1,المنطقة الشرقية,صنع منتجات المطاط واللدائن,كبيرة,3,423,404,19,885,885,0
2023,1,المنطقة الشرقية,صنع منتجات المطاط واللدائن,متناهية الصغر,53,36,15,21,117,117,0
2023,1,المنطقة الشرقية,صنع منتجات المطاط واللدائن,متوسطة,36,1051,783,268,2635,2629,6
2023,1,المنطقة الشرقية,صنع فحم الكوك والمنتجات النفطية المكررة,صغيرة,26,145,93,52,467,467,0
2023,1,المنطقة الشرقية,صنع فحم الكوك والمنتجات النفطية المكررة,كبيرة,8,4165,4105,60,1618,1617,1
2023,1,المنطقة الشرقية,صنع فحم الكوك والمنتجات النفطية المكررة,متناهية الصغر,11,8,4,4,18,17,1
2023,1,المنطقة الشرقية,صنع فحم الكوك والمنتجات النفطية المكررة,متوسطة,7,523,506,17,633,633,0
2023,1,المنطقة الشرقية,صُنع الورق ومنتجات الورق,صغيرة,51,297,154,143,941,938,3
2023,1,المنطقة الشرقية,صُنع الورق ومنتجات الورق,كبيرة,7,723,559,164,1726,1722,4
2023,1,المنطقة الشرقية,صُنع الورق ومنتجات الورق,متناهية الصغر,46,27,10,17,98,97,1
2023,1,المنطقة الشرقية,صُنع الورق ومنتجات الورق,متوسطة,23,742,483,259,1827,1821,6
2023,1,المنطقة الشرقية,صُنع المواد الكيميائية والمنتجات الكيميائية,صغيرة,190,1169,784,385,3018,3001,17
2023,1,المنطقة الشرقية,صُنع المواد الكيميائية والمنتجات الكيميائية,كبيرة,19,10830,10565,265,3388,3388,0
2023,1,المنطقة الشرقية,صُنع المواد الكيميائية والمنتجات الكيميائية,متناهية الصغر,134,68,45,23,259,258,1
2023,1,المنطقة الشرقية,صُنع المواد الكيميائية والمنتجات الكيميائية,متوسطة,96,3579,3031,548,6260,6253,7
2023,1,المنطقة الشرقية,صُنع المنسوجات,صغيرة,78,176,85,91,819,806,13
2023,1,المنطقة الشرقية,صُنع المنسوجات,كبيرة,1,69,47,22,183,183,0
2023,1,المنطقة الشرقية,صُنع المنسوجات,متناهية الصغر,305,60,29,31,675,661,14
2023,1,المنطقة الشرقية,صُنع المنسوجات,متوسطة,7,164,139,25,636,635,1
2023,1,المنطقة الشرقية,صُنع المنتجات الغذائية,صغيرة,335,1187,558,629,4514,4497,17
2023,1,المنطقة الشرقية,صُنع المنتجات الغذائية,كبيرة,15,1606,854,752,5039,5031,8
2023,1,المنطقة الشرقية,صُنع المنتجات الغذائية,متناهية الصغر,736,257,124,133,1551,1546,5
2023,1,المنطقة الشرقية,صُنع المنتجات الغذائية,متوسطة,84,1986,1111,875,5973,5947,26
2023,1,المنطقة الشرقية,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,صغيرة,8,36,18,18,98,81,17
2023,1,المنطقة الشرقية,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,كبيرة,1,180,115,65,387,383,4
2023,1,المنطقة الشرقية,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,متناهية الصغر,12,6,2,4,26,24,2
2023,1,المنطقة الشرقية,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,متوسطة,5,218,158,60,298,292,6
2023,1,المنطقة الشرقية,صُنع المنتجات الجلدية والمنتجات ذات الصلة,صغيرة,8,14,7,7,151,151,0
2023,1,المنطقة الشرقية,صُنع المنتجات الجلدية والمنتجات ذات الصلة,متناهية الصغر,15,3,2,1,32,32,0
2023,1,المنطقة الشرقية,صُنع المنتجات الجلدية والمنتجات ذات الصلة,متوسطة,1,50,50,0,90,90,0
2023,1,المنطقة الشرقية,صُنع الملبوسات,صغيرة,239,554,210,344,2247,1999,248
2023,1,المنطقة الشرقية,صُنع الملبوسات,متناهية الصغر,2304,328,124,204,4978,4690,288
2023,1,المنطقة الشرقية,صُنع الملبوسات,متوسطة,13,394,83,311,977,971,6
2023,1,المنطقة الشرقية,صنع المعدات الكهربائية,صغيرة,58,335,233,102,955,949,6
2023,1,المنطقة الشرقية,صنع المعدات الكهربائية,كبيرة,9,2210,2090,120,1937,1931,6
2023,1,المنطقة الشرقية,صنع المعدات الكهربائية,متناهية الصغر,117,44,27,17,249,249,0
2023,1,المنطقة الشرقية,صنع المعدات الكهربائية,متوسطة,27,830,628,202,1744,1742,2
2023,1,المنطقة الشرقية,صُنع المشروبات,صغيرة,23,81,43,38,359,358,1
2023,1,المنطقة الشرقية,صُنع المشروبات,كبيرة,4,577,379,198,1501,1500,1
2023,1,المنطقة الشرقية,صُنع المشروبات,متناهية الصغر,35,9,5,4,64,63,1
2023,1,المنطقة الشرقية,صُنع المشروبات,متوسطة,6,160,65,95,488,485,3
2023,1,المنطقة الشرقية,صنع الفلزات القاعدية,صغيرة,96,474,306,168,1509,1508,1
2023,1,المنطقة الشرقية,صنع الفلزات القاعدية,كبيرة,20,2875,2616,259,5160,5158,2
2023,1,المنطقة الشرقية,صنع الفلزات القاعدية,متناهية الصغر,108,50,40,10,200,200,0
2023,1,المنطقة الشرقية,صنع الفلزات القاعدية,متوسطة,61,2036,1428,608,4860,4859,1
2023,1,المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,صغيرة,182,489,256,233,2065,2054,11
2023,1,المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,كبيرة,1,61,61,0,249,249,0
2023,1,المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,متناهية الصغر,419,166,66,100,993,990,3
2023,1,المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,متوسطة,15,396,236,160,1253,1250,3
2023,1,المنطقة الشرقية,صنع الحواسيب والمنتجات الإلكترونية والبصرية,صغيرة,20,120,84,36,297,297,0
2023,1,المنطقة الشرقية,صنع الحواسيب والمنتجات الإلكترونية والبصرية,متناهية الصغر,46,24,16,8,76,74,2
2023,1,المنطقة الشرقية,صنع الحواسيب والمنتجات الإلكترونية والبصرية,متوسطة,5,168,105,63,350,350,0
2023,1,المنطقة الشرقية,صنع الأثاث,صغيرة,163,525,244,281,2203,2195,8
2023,1,المنطقة الشرقية,صنع الأثاث,كبيرة,3,128,70,58,705,702,3
2023,1,المنطقة الشرقية,صنع الأثاث,متناهية الصغر,543,115,49,66,1329,1327,2
2023,1,المنطقة الشرقية,صنع الأثاث,متوسطة,30,698,353,345,2121,2113,8
2023,1,المنطقة الشرقية,صناعة معدات النقل الأخرى,صغيرة,5,22,7,15,61,60,1
2023,1,المنطقة الشرقية,صناعة معدات النقل الأخرى,كبيرة,3,2928,2854,74,785,785,0
2023,1,المنطقة الشرقية,صناعة معدات النقل الأخرى,متناهية الصغر,12,5,3,2,22,22,0
2023,1,المنطقة الشرقية,صناعة معدات النقل الأخرى,متوسطة,3,49,42,7,161,161,0
2023,1,المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,صغيرة,26,148,91,57,408,408,0
2023,1,المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,كبيرة,2,298,282,16,807,807,0
2023,1,المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,متناهية الصغر,29,8,6,2,68,68,0
2023,1,المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,متوسطة,10,358,270,88,1005,1004,1
2023,1,المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,صغيرة,72,526,379,147,1130,1128,2
2023,1,المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,كبيرة,7,1599,1467,132,2101,2099,2
2023,1,المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,متناهية الصغر,67,30,19,11,127,126,1
2023,1,المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,متوسطة,37,1519,1282,237,2365,2361,4
2023,1,المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,صغيرة,53,302,221,81,622,621,1
2023,1,المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,كبيرة,1,6016,6004,12,467,467,0
2023,1,المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,متناهية الصغر,62,38,21,17,123,121,2
2023,1,المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,متوسطة,7,270,216,54,293,293,0
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,صغيرة,7,117,74,43,34,31,3
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,كبيرة,2,582,429,153,162,152,10
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,2,4,2,2,2,2,0
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متوسطة,4,299,183,116,141,140,1
2023,1,المنطقة الشرقية,تعدين ركازات الفلزات,صغيرة,10,16,13,3,92,92,0
2023,1,المنطقة الشرقية,تعدين ركازات الفلزات,كبيرة,1,570,566,4,3,3,0
2023,1,المنطقة الشرقية,تعدين ركازات الفلزات,متناهية الصغر,55,18,12,6,115,115,0
2023,1,المنطقة الشرقية,تعدين ركازات الفلزات,متوسطة,1,77,65,12,54,53,1
2023,1,المنطقة الشرقية,تعدين الفحم والليغنيت,صغيرة,2,5,5,0,13,13,0
2023,1,المنطقة الشرقية,تعدين الفحم والليغنيت,متناهية الصغر,5,3,3,0,8,8,0
2023,1,المنطقة الشرقية,تشييد المباني,صغيرة,5016,11316,5856,5460,67734,67530,204
2023,1,المنطقة الشرقية,تشييد المباني,كبيرة,139,25493,17518,7975,124966,124301,665
2023,1,المنطقة الشرقية,تشييد المباني,متناهية الصغر,12802,3061,1551,1510,30782,30671,111
2023,1,المنطقة الشرقية,تشييد المباني,متوسطة,753,11023,6412,4611,64350,64223,127
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,صغيرة,35,162,113,49,407,407,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,كبيرة,2,812,800,12,212,212,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,83,31,15,16,169,169,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,متوسطة,1,137,131,6,103,103,0
2023,1,المنطقة الشرقية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,صغيرة,1929,4480,2940,1540,17542,17519,23
2023,1,المنطقة الشرقية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,كبيرة,7,1057,901,156,1535,1533,2
