,السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديات (إناث),عدد العاملين الأجانب,عدد الأجانب (ذكور),عدد الأجنبيات (إناث)
852,2023,1,المنطقة الشرقية,تشييد المباني,صغيرة,5016,11316,5856,5460,67734,67530,204
853,2023,1,المنطقة الشرقية,تشييد المباني,كبيرة,139,25493,17518,7975,124966,124301,665
854,2023,1,المنطقة الشرقية,تشييد المباني,متناهية الصغر,12802,3061,1551,1510,30782,30671,111
855,2023,1,المنطقة الشرقية,تشييد المباني,متوسطة,753,11023,6412,4611,64350,64223,127
856,2023,1,منطقة الباحة,تشييد المباني,صغيرة,216,354,240,114,2130,2122,8
857,2023,1,منطقة الباحة,تشييد المباني,متناهية الصغر,1283,223,123,100,3233,3225,8
858,2023,1,منطقة الباحة,تشييد المباني,متوسطة,4,64,48,16,296,296,0
859,2023,1,منطقة الجوف,تشييد المباني,صغيرة,243,332,207,125,2547,2540,7
860,2023,1,منطقة الجوف,تشييد المباني,كبيرة,2,295,217,78,588,497,91
861,2023,1,منطقة الجوف,تشييد المباني,متناهية الصغر,1638,211,134,77,4020,4012,8
862,2023,1,منطقة الجوف,تشييد المباني,متوسطة,7,102,66,36,466,466,0
863,2023,1,منطقة الحدود الشمالية,تشييد المباني,صغيرة,176,275,160,115,1777,1771,6
864,2023,1,منطقة الحدود الشمالية,تشييد المباني,كبيرة,3,380,223,157,2379,2355,24
865,2023,1,منطقة الحدود الشمالية,تشييد المباني,متناهية الصغر,1609,146,79,67,4299,4291,8
866,2023,1,منطقة الحدود الشمالية,تشييد المباني,متوسطة,9,109,64,45,670,670,0
867,2023,1,منطقة الرياض,تشييد المباني,صغيرة,7032,15183,6597,8586,89963,89293,670
868,2023,1,منطقة الرياض,تشييد المباني,كبيرة,368,27021,14746,12275,227441,224833,2608
869,2023,1,منطقة الرياض,تشييد المباني,متناهية الصغر,24451,5546,2590,2956,54430,53972,458
870,2023,1,منطقة الرياض,تشييد المباني,متوسطة,1129,14300,6877,7423,105577,104648,929
871,2023,1,منطقة القصيم,تشييد المباني,صغيرة,1329,1977,1167,810,15978,15873,105
872,2023,1,منطقة القصيم,تشييد المباني,كبيرة,32,476,288,188,13854,13773,81
873,2023,1,منطقة القصيم,تشييد المباني,متناهية الصغر,9515,1039,574,465,22829,22784,45
874,2023,1,منطقة القصيم,تشييد المباني,متوسطة,156,1023,624,399,16680,16610,70
