year,quarter,region,economic_activity,facility_size,no_of_faicility,saudi_employees,male_saudies,female_saudies,foreign_employees,male_foreigners,female_foreigners
2023,1,المنطقة الشرقية,الخدمات,صغيرة,54,320,137,183,523,516,7
2023,1,المنطقة الشرقية,الخدمات,كبيرة,1,221,207,14,213,212,1
2023,1,المنطقة الشرقية,الخدمات,متناهية الصغر,184,122,65,57,287,285,2
2023,1,المنطقة الشرقية,الخدمات,متوسطة,6,239,130,109,329,326,3
2023,1,منطقة الباحة,الخدمات,متناهية الصغر,7,2,2,0,13,13,0
2023,1,منطقة الجوف,الخدمات,صغيرة,3,12,8,4,23,23,0
2023,1,منطقة الجوف,الخدمات,متناهية الصغر,17,6,2,4,33,33,0
2023,1,منطقة الحدود الشمالية,الخدمات,صغيرة,1,4,4,0,26,26,0
2023,1,منطقة الحدود الشمالية,الخدمات,متناهية الصغر,12,2,2,0,26,26,0
2023,1,منطقة الرياض,الخدمات,صغيرة,159,898,365,533,1322,1287,35
2023,1,منطقة الرياض,الخدمات,كبيرة,2,312,187,125,319,313,6
2023,1,منطقة الرياض,الخدمات,متناهية الصغر,411,226,98,128,738,712,26
2023,1,منطقة الرياض,الخدمات,متوسطة,18,681,364,317,1046,1035,11
2023,1,منطقة القصيم,الخدمات,صغيرة,13,31,16,15,94,92,2
2023,1,منطقة القصيم,الخدمات,متناهية الصغر,80,24,11,13,158,157,1
2023,1,منطقة المدينة المنورة,الخدمات,صغيرة,28,134,58,76,254,249,5
2023,1,منطقة المدينة المنورة,الخدمات,متناهية الصغر,145,84,47,37,233,225,8
2023,1,منطقة تبوك,الخدمات,صغيرة,7,30,19,11,75,75,0
2023,1,منطقة تبوك,الخدمات,متناهية الصغر,40,16,7,9,67,64,3
2023,1,منطقة جازان,الخدمات,صغيرة,2,9,2,7,17,17,0
2023,1,منطقة جازان,الخدمات,متناهية الصغر,26,15,6,9,41,41,0
2023,1,منطقة حائل,الخدمات,صغيرة,8,31,12,19,67,65,2
2023,1,منطقة حائل,الخدمات,متناهية الصغر,20,10,8,2,42,42,0
2023,1,منطقة عسير,الخدمات,صغيرة,2,11,4,7,19,19,0
2023,1,منطقة عسير,الخدمات,متناهية الصغر,59,32,17,15,113,113,0
2023,1,منطقة مكة المكرمة,الخدمات,صغيرة,200,846,500,346,1635,1603,32
2023,1,منطقة مكة المكرمة,الخدمات,كبيرة,1,249,240,9,32,31,1
2023,1,منطقة مكة المكرمة,الخدمات,متناهية الصغر,721,490,295,195,1230,1198,32
2023,1,منطقة مكة المكرمة,الخدمات,متوسطة,12,581,319,262,545,542,3
2023,1,منطقة نجران,الخدمات,صغيرة,4,6,3,3,29,29,0
2023,1,منطقة نجران,الخدمات,متناهية الصغر,15,9,5,4,28,28,0
2023,1,المنطقة الشرقية,صيد الأسماك وتربية المائيات,صغيرة,138,122,47,75,1229,1228,1
2023,1,المنطقة الشرقية,صيد الأسماك وتربية المائيات,متناهية الصغر,2055,183,82,101,5887,5873,14
2023,1,منطقة الباحة,صيد الأسماك وتربية المائيات,صغيرة,2,0,0,0,13,13,0
2023,1,منطقة الباحة,صيد الأسماك وتربية المائيات,متناهية الصغر,131,9,5,4,370,370,0
2023,1,منطقة الجوف,صيد الأسماك وتربية المائيات,صغيرة,3,5,1,4,13,13,0
2023,1,منطقة الجوف,صيد الأسماك وتربية المائيات,متناهية الصغر,609,43,27,16,1301,1293,8
2023,1,منطقة الحدود الشمالية,صيد الأسماك وتربية المائيات,صغيرة,1,3,1,2,16,16,0
2023,1,منطقة الحدود الشمالية,صيد الأسماك وتربية المائيات,متناهية الصغر,222,19,11,8,643,642,1
2023,1,منطقة الرياض,صيد الأسماك وتربية المائيات,صغيرة,847,612,289,323,5813,5782,31
2023,1,منطقة الرياض,صيد الأسماك وتربية المائيات,متناهية الصغر,107429,8541,4149,4392,320241,318328,1913
2023,1,منطقة الرياض,صيد الأسماك وتربية المائيات,متوسطة,4,98,23,75,294,294,0
2023,1,منطقة القصيم,صيد الأسماك وتربية المائيات,صغيرة,22,14,6,8,166,165,1
2023,1,منطقة القصيم,صيد الأسماك وتربية المائيات,متناهية الصغر,2705,206,92,114,8079,8062,17
2023,1,منطقة المدينة المنورة,صيد الأسماك وتربية المائيات,صغيرة,28,21,14,7,256,256,0
2023,1,منطقة المدينة المنورة,صيد الأسماك وتربية المائيات,متناهية الصغر,1220,108,67,41,3241,3162,79
2023,1,منطقة تبوك,صيد الأسماك وتربية المائيات,صغيرة,21,2,0,2,205,205,0
2023,1,منطقة تبوك,صيد الأسماك وتربية المائيات,متناهية الصغر,469,38,18,20,1192,1188,4
2023,1,منطقة جازان,صيد الأسماك وتربية المائيات,صغيرة,59,87,61,26,675,674,1
2023,1,منطقة جازان,صيد الأسماك وتربية المائيات,متناهية الصغر,963,67,32,35,2357,2336,21
2023,1,منطقة جازان,صيد الأسماك وتربية المائيات,متوسطة,3,37,23,14,329,328,1
2023,1,منطقة حائل,صيد الأسماك وتربية المائيات,صغيرة,25,8,4,4,156,156,0
2023,1,منطقة حائل,صيد الأسماك وتربية المائيات,متناهية الصغر,5042,324,147,177,14732,14698,34
2023,1,منطقة عسير,صيد الأسماك وتربية المائيات,صغيرة,32,42,32,10,246,246,0
2023,1,منطقة عسير,صيد الأسماك وتربية المائيات,متناهية الصغر,1100,61,27,34,2510,2499,11
2023,1,منطقة عسير,صيد الأسماك وتربية المائيات,متوسطة,1,6,2,4,44,44,0
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,صغيرة,111,78,42,36,844,839,5
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,كبيرة,1,271,248,23,2028,2025,3
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,متناهية الصغر,6265,496,256,240,16053,15518,535
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,متوسطة,2,31,30,1,248,248,0
2023,1,منطقة نجران,صيد الأسماك وتربية المائيات,صغيرة,20,11,2,9,140,140,0
2023,1,منطقة نجران,صيد الأسماك وتربية المائيات,متناهية الصغر,2197,141,69,72,6365,6351,14
2023,1,المنطقة الشرقية,الصناعة,صغيرة,667,1957,1141,816,7591,7582,9
2023,1,المنطقة الشرقية,الصناعة,كبيرة,23,7051,6345,706,6473,6462,11
2023,1,المنطقة الشرقية,الصناعة,متناهية الصغر,1486,452,244,208,3397,3395,2
2023,1,المنطقة الشرقية,الصناعة,متوسطة,111,3037,2190,847,8358,8348,10
2023,1,منطقة الباحة,الصناعة,صغيرة,21,23,13,10,120,120,0
2023,1,منطقة الباحة,الصناعة,متناهية الصغر,327,50,34,16,661,661,0
2023,1,منطقة الجوف,الصناعة,صغيرة,28,35,24,11,239,239,0
2023,1,منطقة الجوف,الصناعة,متناهية الصغر,311,29,25,4,698,697,1
2023,1,منطقة الحدود الشمالية,الصناعة,صغيرة,19,35,19,16,225,225,0
